Location Type,Incident Zip,City,Borough,Latitude,Longitude,num_calls
House of Worship,10309,STATEN ISLAND,STATEN ISLAND,40.52313781,-74.21623925,14
Park/Playground,10010,NEW YORK,MANHATTAN,40.73831505,-73.98561642,41
Store/Commercial,10011,NEW YORK,MANHATTAN,40.73991339,-74.00079029,29
Street/Sidewalk,10012,NEW YORK,MANHATTAN,40.7287944,-74.00043657,23
Club/Bar/Restaurant,10467,BRONX,BRONX,40.87132564,-73.87703574,107
Store/Commercial,10002,NEW YORK,MANHATTAN,40.71531994,-73.98988518,62
Residential Building/House,10019,NEW YORK,MANHATTAN,40.76568266,-73.98364305,44
House of Worship,10002,NEW YORK,MANHATTAN,40.72115008,-73.99370114,47
Park/Playground,11231,BROOKLYN,BROOKLYN,40.68327789,-73.99546783,37
Store/Commercial,11249,BROOKLYN,BROOKLYN,40.71604975,-73.96214117,13
Street/Sidewalk,10014,NEW YORK,MANHATTAN,40.73506048,-74.00663215,33
Club/Bar/Restaurant,11209,BROOKLYN,BROOKLYN,40.61758878,-74.02955441,19
Store/Commercial,11249,BROOKLYN,BROOKLYN,40.71299888,-73.96633081,85
Residential Building/House,10128,NEW YORK,MANHATTAN,40.77902925,-73.95089043,17
House of Worship,10301,STATEN ISLAND,STATEN ISLAND,40.63765525,-74.07798873,20
Park/Playground,10021,NEW YORK,MANHATTAN,40.76848584,-73.95550116,28
Store/Commercial,11203,BROOKLYN,BROOKLYN,40.65108755,-73.94447252,196
Street/Sidewalk,10012,NEW YORK,MANHATTAN,40.72111717,-73.99421703,55
Club/Bar/Restaurant,10018,NEW YORK,MANHATTAN,40.75177243,-73.98462818,24
Store/Commercial,10014,NEW YORK,MANHATTAN,40.74002306,-74.00529023,18
Residential Building/House,11378,MASPETH,QUEENS,40.72763258,-73.89248675,93
House of Worship,11105,ASTORIA,QUEENS,40.77631597,-73.90145267,14
Park/Playground,10019,NEW YORK,MANHATTAN,40.76338296,-73.98673729,16
Store/Commercial,10011,NEW YORK,MANHATTAN,40.74033035,-73.9924796,18
Street/Sidewalk,10029,NEW YORK,MANHATTAN,40.79339574,-73.9404245,46
Club/Bar/Restaurant,11385,RIDGEWOOD,QUEENS,40.70347321,-73.8955048,20
Store/Commercial,11216,BROOKLYN,BROOKLYN,40.68186975,-73.94937197,167
Residential Building/House,10301,STATEN ISLAND,STATEN ISLAND,40.63914998,-74.07565203,18
House of Worship,10019,NEW YORK,MANHATTAN,40.76550199,-73.98746608,45
Park/Playground,10027,NEW YORK,MANHATTAN,40.82000567,-73.95887372,76
Store/Commercial,10036,NEW YORK,MANHATTAN,40.76431686,-73.9957836,14
Street/Sidewalk,10014,NEW YORK,MANHATTAN,40.7290798,-74.00349257,10
Club/Bar/Restaurant,10003,NEW YORK,MANHATTAN,40.73753336,-73.99127108,47
Store/Commercial,10033,NEW YORK,MANHATTAN,40.85180412,-73.93192829,250
Residential Building/House,11217,BROOKLYN,BROOKLYN,40.68152493,-73.97922177,39
House of Worship,10002,NEW YORK,MANHATTAN,40.72072702,-73.98888867,49
Park/Playground,10001,NEW YORK,MANHATTAN,40.74578928,-73.98802918,20
Store/Commercial,10009,NEW YORK,MANHATTAN,40.72952612,-73.98387202,21
Street/Sidewalk,10025,NEW YORK,MANHATTAN,40.80292804,-73.96757482,61
Club/Bar/Restaurant,11103,ASTORIA,QUEENS,40.75779259,-73.91646706,15
Store/Commercial,10003,NEW YORK,MANHATTAN,40.73888085,-73.98904803,27
Residential Building/House,10009,NEW YORK,MANHATTAN,40.72201915,-73.98344452,10
House of Worship,10304,STATEN ISLAND,STATEN ISLAND,40.58924884,-74.1015729,30
Park/Playground,10003,NEW YORK,MANHATTAN,40.72642799,-73.99001699,13
Store/Commercial,11238,BROOKLYN,BROOKLYN,40.67350675,-73.95693444,42
Street/Sidewalk,10002,NEW YORK,MANHATTAN,40.71838331,-73.99284643,30
Club/Bar/Restaurant,10022,NEW YORK,MANHATTAN,40.75550463,-73.96806713,17
Store/Commercial,11206,BROOKLYN,BROOKLYN,40.7086008,-73.93767607,18
Residential Building/House,11378,MASPETH,QUEENS,40.7286749,-73.90089533,10
House of Worship,11249,BROOKLYN,BROOKLYN,40.7107541,-73.96785411,25
Park/Playground,11211,BROOKLYN,BROOKLYN,40.71387984,-73.95769833,76
Store/Commercial,10314,STATEN ISLAND,STATEN ISLAND,40.61301907,-74.12369864,12
Street/Sidewalk,11233,BROOKLYN,BROOKLYN,40.68400462,-73.93227625,18
Club/Bar/Restaurant,10034,NEW YORK,MANHATTAN,40.86620047,-73.92805946,98
Store/Commercial,11426,BELLEROSE,QUEENS,40.73560607,-73.71632317,20
Residential Building/House,11201,BROOKLYN,BROOKLYN,40.69318384,-73.99858642,17
House of Worship,10009,NEW YORK,MANHATTAN,40.72785198,-73.9850883,12
Park/Playground,10001,NEW YORK,MANHATTAN,40.74391735,-73.98786712,53
Store/Commercial,10002,NEW YORK,MANHATTAN,40.71933772,-73.98492787,18
Street/Sidewalk,11693,FAR ROCKAWAY,QUEENS,40.58740438,-73.80982103,28
Club/Bar/Restaurant,11104,SUNNYSIDE,QUEENS,40.74102858,-73.92167375,58
Store/Commercial,11225,BROOKLYN,BROOKLYN,40.65662476,-73.96009532,44
Residential Building/House,10003,NEW YORK,MANHATTAN,40.73428366,-73.99249472,14
House of Worship,10040,NEW YORK,MANHATTAN,40.85650354,-73.93276214,28
Park/Playground,11377,WOODSIDE,QUEENS,40.74310102,-73.89741304,59
Store/Commercial,10002,NEW YORK,MANHATTAN,40.72224762,-73.98889924,33
Street/Sidewalk,10458,BRONX,BRONX,40.86623261,-73.88615252,11
Club/Bar/Restaurant,10002,NEW YORK,MANHATTAN,40.72155867,-73.98880917,28
Store/Commercial,10027,NEW YORK,MANHATTAN,40.81119422,-73.94374289,11
Residential Building/House,11372,JACKSON HEIGHTS,QUEENS,40.74642855,-73.8953472,355
House of Worship,11223,BROOKLYN,BROOKLYN,40.5983312,-73.96091877,12
Park/Playground,11237,BROOKLYN,BROOKLYN,40.70247911,-73.92687285,80
Store/Commercial,10026,NEW YORK,MANHATTAN,40.80441984,-73.95536877,20
Street/Sidewalk,10013,NEW YORK,MANHATTAN,40.71444753,-73.99813145,42
Club/Bar/Restaurant,11205,BROOKLYN,BROOKLYN,40.69313305,-73.96912113,91
Store/Commercial,11249,BROOKLYN,BROOKLYN,40.7159289,-73.96191037,31
Residential Building/House,11358,FLUSHING,QUEENS,40.75596635,-73.80457526,13
House of Worship,11209,BROOKLYN,BROOKLYN,40.63131316,-74.02784198,32
Park/Playground,11103,ASTORIA,QUEENS,40.76754135,-73.9120144,57
Store/Commercial,10009,NEW YORK,MANHATTAN,40.72408245,-73.97885855,20
Street/Sidewalk,11106,ASTORIA,QUEENS,40.75454927,-73.93029877,29
Club/Bar/Restaurant,10036,NEW YORK,MANHATTAN,40.76346859,-73.99281632,95
Store/Commercial,11217,BROOKLYN,BROOKLYN,40.68158489,-73.97696835,40
